	ada-2	alr-1	atf-5	atf-6	atf-7	athp-1	bra-2	brc-1	cbp-1	ccr-4	cdk-9	ced-6	ceh-13	ceh-20	ceh-21	ceh-27	ceh-32	ceh-36	ceh-37	ceh-38	ceh-39	ceh-40	ceh-41	ceh-43	ceh-44	ceh-49	cep-1	cey-1	cey-2	cey-3	cey-4	chd-3	cnd-1	daf-14	daf-19	daf-3	die-1	dlx-1	dmd-5	dnj-11	dpl-1	dpy-22	dpy-26	efl-1	egl-18	egl-27	ekl-4	elt-1	elt-2	elt-3	elt-6	elt-7	end-1	eor-1	eya-1	fkh-2	fkh-3	fkh-4	fkh-5	fkh-7	flt-1	gei-11	gei-8	gfl-1	gla-3	hif-1	hlh-1	hlh-14	hlh-2	hlh-25	hlh-26	hlh-27	hlh-3	hlh-30	hmg-1.1	hmg-1.2	hmg-11	hmg-12	hmg-3	hmg-4	hmg-5	hnd-1	hsf-1	irx-1	lag-1	let-418	lin-26	lin-28	lin-32	lin-35	lin-40	lin-49	lin-54	lin-61	lir-1	lpd-2	lsl-1	lst-3	mbf-1	mes-2	mes-4	mes-6	mex-1	mex-5	mex-6	mls-2	mml-1	mxl-1	mxl-2	nfi-1	ngn-1	nhr-10	nhr-12	nhr-122	nhr-13	nhr-2	nhr-20	nhr-243	nhr-25	nhr-256	nhr-34	nhr-4	nhr-46	nhr-47	nhr-49	nhr-57	nhr-61	nhr-64	nhr-66	nhr-68	nhr-70	nhr-71	nhr-78	nhr-86	nob-1	ntl-2	nurf-1	oma-1	oma-2	pal-1	pes-1	pha-4	pie-1	pos-1	psa-1	rbr-2	ref-1	sbp-1	sdc-1	sdc-2	sdc-3	sea-1	sex-1	skn-1	sop-2	sox-2	spr-1	taf-4	taf-5	tag-153	tag-182	tag-192	tbx-11	tbx-31	tbx-32	tbx-33	tbx-36	tbx-37	tbx-38	tbx-39	tbx-40	tbx-7	tbx-8	tbx-9	tra-1	tra-4	unc-120	unc-130	unc-30	unc-37	unc-39	unc-62	vab-15	xbp-1	zfp-1	zip-2	zip-4	ztf-7	mab-21	cwn-1	scrt-1
ada-2	1	2	2	3	3	5	3	5	3	3	2	5	2	2	3	2	2	2	2	3	3	3	3	2	3	5	3	3	5	3	3	5	2	5	3	5	3	2	2	3	5	5	3	3	2	3	5	2	2	2	5	2	2	5	2	2	5	5	2	2	5	3	5	3	2	2	2	2	3	2	2	2	1	2	3	3	5	3	5	3	3	2	2	2	3	3	3	5	2	3	2	5	3	3	5	2	5	3	5	5	3	3	5	5	5	2	3	5	3	3	2	3	5	2	3	3	3	2	2	5	3	2	3	5	3	2	5	2	5	2	2	3	5	5	2	3	3	5	5	3	2	2	5	3	3	5	5	2	5	5	5	3	3	2	5	2	2	5	3	3	3	3	2	2	2	5	2	2	2	2	2	2	2	3	3	3	2	2	2	3	2	2	2	2	5	2	2	3	2	5	2
alr-1	3	1	5	3	3	5	3	5	3	3	5	5	5	3	3	2	5	5	5	3	3	3	3	5	3	5	3	3	5	3	3	3	5	3	3	3	3	5	2	3	5	3	3	3	5	3	5	5	2	2	5	5	5	3	3	5	5	5	5	3	3	3	3	3	4	5	5	5	3	5	5	5	3	2	3	3	3	3	5	3	3	3	5	2	3	3	3	5	2	3	5	3	3	3	3	5	5	3	5	5	3	3	5	5	5	5	3	5	3	3	5	3	5	5	3	3	3	5	5	5	3	5	3	3	3	5	3	5	5	2	5	3	5	5	2	3	3	5	5	3	5	5	5	3	3	5	5	5	3	3	3	3	3	5	3	5	5	5	3	3	3	3	3	5	5	5	5	5	5	5	5	2	5	3	3	3	2	2	2	3	2	5	2	5	3	5	5	3	2	3	5
atf-5	3	5	1	3	3	3	3	3	3	3	5	5	5	3	3	2	2	2	2	3	3	3	3	2	3	5	3	3	5	3	3	3	5	3	3	3	3	5	2	3	3	3	3	3	5	3	3	3	2	2	5	5	3	3	5	2	5	5	5	3	5	3	3	3	4	5	5	5	3	5	5	5	3	5	3	3	3	3	5	3	3	3	5	2	3	3	3	3	2	3	3	3	3	3	3	5	5	3	5	5	3	3	5	5	5	2	3	3	3	3	5	3	5	3	3	3	3	5	5	5	3	5	3	3	3	5	3	3	5	2	5	3	5	3	5	3	3	5	5	3	5	2	5	3	3	5	5	5	3	3	3	3	3	5	3	5	5	5	3	3	3	3	3	4	4	5	4	5	5	4	4	2	3	3	3	3	5	2	2	3	2	3	2	5	3	5	5	3	2	3	5
atf-6	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
atf-7	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
athp-1	5	5	2	3	3	1	3	5	3	3	2	2	2	5	3	2	2	2	2	3	3	3	3	2	5	5	3	3	2	3	3	5	2	5	3	5	3	2	2	3	2	5	3	3	2	3	2	5	2	2	5	2	2	5	5	2	5	5	2	5	5	3	5	3	2	2	5	5	3	2	2	2	5	5	3	3	5	3	5	3	3	5	2	2	3	3	3	1	2	3	2	5	3	3	5	5	2	3	5	2	3	3	2	2	5	2	3	5	3	3	2	3	2	5	3	3	5	2	5	2	3	2	3	5	3	2	5	5	2	2	5	3	5	5	5	5	3	5	5	3	2	2	2	3	3	2	5	2	5	5	5	3	3	5	5	2	5	2	3	3	3	3	5	2	2	2	2	2	2	2	2	2	5	3	3	3	5	2	2	3	2	5	2	5	5	5	5	3	2	5	5
bra-2	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
brc-1	5	5	2	3	3	5	3	1	3	3	2	2	2	5	3	2	2	2	2	3	3	3	3	2	5	5	3	3	2	3	3	5	5	5	3	5	3	2	2	3	5	5	3	3	2	3	5	5	2	2	5	5	5	5	5	5	5	5	5	5	5	3	5	3	2	2	2	5	3	2	2	2	5	5	3	3	5	3	5	3	3	5	2	2	3	3	3	3	2	3	5	5	3	3	5	5	2	3	2	5	3	3	5	2	5	5	3	5	3	3	2	3	5	5	3	3	5	2	5	5	3	2	3	5	3	2	2	5	2	2	5	3	5	5	2	5	3	5	5	3	2	2	5	3	3	2	5	2	5	5	5	3	3	2	3	5	5	5	3	3	3	3	5	2	2	2	5	2	5	2	2	5	5	3	3	3	5	2	2	3	2	5	2	5	5	5	5	3	2	5	5
cbp-1	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
ccr-4	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
cdk-9	3	5	5	3	3	3	3	3	3	3	1	5	5	5	3	2	2	2	5	3	3	3	3	5	3	5	3	3	5	3	3	3	5	5	3	3	3	5	2	3	3	3	3	3	2	3	3	5	2	5	5	5	5	3	5	5	5	5	5	5	5	3	5	3	2	5	5	5	3	2	2	2	3	5	3	3	5	3	5	3	3	3	2	2	3	3	3	3	2	3	3	3	3	3	3	5	5	3	3	5	3	3	5	5	5	5	3	3	3	3	5	3	5	5	3	3	3	5	5	5	3	5	3	3	3	2	3	5	5	2	5	3	3	3	5	3	3	5	5	3	2	2	5	3	3	3	5	5	3	5	3	3	3	5	3	5	5	3	3	3	3	3	5	2	2	5	5	2	5	2	2	5	5	3	3	3	5	2	2	3	2	3	2	3	3	5	3	3	5	5	5
ced-6	5	5	5	3	3	3	3	3	3	3	5	1	5	5	3	2	2	2	2	3	3	3	3	2	5	5	3	3	5	3	3	5	5	5	3	5	3	5	2	3	5	5	3	3	5	3	5	5	2	2	5	5	5	5	5	2	5	5	5	5	5	3	3	3	2	5	5	5	3	5	5	5	5	5	3	3	5	3	5	3	3	5	2	2	3	3	3	3	2	3	5	5	3	3	3	5	5	3	5	5	3	3	5	5	5	2	3	3	3	3	5	3	5	5	3	3	3	2	5	5	3	5	3	5	3	2	5	5	5	2	5	3	5	5	5	5	3	5	5	3	2	2	5	3	3	5	5	5	5	5	5	3	3	5	3	2	5	5	3	3	3	3	5	2	2	5	2	5	5	5	2	2	5	3	3	3	5	2	2	3	2	5	2	5	5	5	5	3	2	5	5
ceh-13	3	5	5	3	3	3	3	3	3	3	5	5	1	3	3	2	2	2	2	3	3	3	3	2	3	5	3	3	5	3	3	3	5	3	3	3	3	5	2	3	3	3	3	3	5	3	3	3	2	2	5	5	5	3	3	5	5	5	5	3	5	3	3	3	4	5	5	5	3	5	5	5	3	5	3	3	3	3	5	3	3	3	5	2	3	3	3	3	2	3	3	3	3	3	3	5	5	3	5	5	3	3	5	5	5	5	3	3	3	3	5	3	5	3	3	3	3	5	5	5	3	5	3	3	3	5	3	3	5	2	5	3	5	3	5	3	3	5	5	3	5	2	5	3	3	3	5	5	3	3	3	3	3	5	3	5	5	5	3	3	3	3	3	4	4	5	4	5	5	4	4	5	3	3	3	3	5	2	2	3	2	3	2	5	5	5	5	3	2	3	5
ceh-20	3	2	2	3	3	5	3	5	3	3	5	5	2	1	3	2	2	2	2	3	3	3	3	2	3	5	3	3	5	3	3	3	5	3	3	3	3	2	2	3	5	5	3	3	2	3	5	5	2	2	5	5	5	3	5	2	5	5	5	3	5	3	5	3	5	5	2	2	3	5	5	5	3	2	3	3	3	3	5	3	3	5	5	2	3	3	3	5	2	3	5	3	3	3	5	5	5	3	5	5	3	3	5	5	5	2	3	5	3	3	2	3	5	5	3	3	3	5	5	5	3	5	3	5	3	2	5	2	5	2	5	3	5	5	2	3	3	5	5	3	5	2	5	3	3	5	5	5	3	3	3	3	3	5	3	2	5	5	3	3	3	3	5	5	5	5	5	2	2	5	5	2	2	3	3	3	2	2	2	3	2	5	2	5	5	2	5	3	2	5	2
ceh-21	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
ceh-27	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	5	3	3	5	3	3	3	3	3	3	3	3	5	2	3	3	3	3	3	5	3	3	3	5	5	3	3	3	3	3	3	5	5	5	3	3	3	3	3	4	3	5	3	3	4	4	4	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	1	3	3	3	3	3	3	3	5	3	3	5	3	3	5	5	5	3	3	3	3	3	5	3	5	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	5	5	3	3	3	3	3	3	3	5	5	3	3	3	5	3	3	3	3	5	3	3	3	3	3	5	3	5	3	3	3	3	3	3	3	4	4	4	4	5	5	4	4	5	3	3	3	3	3	1	5	3	2	3	2	3	3	3	3	3	5	3	5
ceh-32	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	2	1	2	2	3	3	3	3	3	3	5	3	3	5	3	3	3	5	3	3	3	3	5	2	3	3	3	3	3	5	3	3	3	5	5	3	5	3	3	3	5	5	5	5	3	5	3	3	3	4	3	5	5	3	5	5	5	3	5	3	3	3	3	3	3	3	3	5	5	3	3	3	3	2	3	3	3	3	3	3	5	5	3	3	5	3	3	5	5	5	5	3	3	3	3	5	3	5	3	3	3	3	5	5	5	3	5	3	3	3	5	3	3	5	5	5	3	3	3	5	3	3	5	5	3	3	2	5	3	3	3	3	5	3	3	3	3	3	5	3	5	3	3	3	3	3	3	3	4	4	5	4	5	5	4	4	5	3	3	3	3	5	2	2	3	2	3	2	3	3	5	3	3	5	3	5
ceh-36	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	1	5	3	3	3	3	3	3	5	3	3	5	3	3	3	5	3	3	3	3	5	2	3	3	3	3	3	5	3	3	3	5	5	3	3	3	3	3	3	5	5	5	3	5	3	3	3	4	3	5	5	3	5	5	5	3	5	3	3	3	3	3	3	3	3	5	5	3	3	3	3	2	3	3	3	3	3	3	5	5	3	3	5	3	3	5	5	5	5	3	3	3	3	5	3	5	3	3	3	3	3	5	5	3	5	3	3	3	5	3	3	5	5	5	3	3	3	5	3	3	5	5	3	3	2	5	3	3	3	3	5	3	3	3	3	3	5	3	5	3	3	3	3	3	3	3	4	4	5	4	5	5	4	4	5	3	3	3	3	5	2	2	3	2	3	2	3	3	5	3	3	5	3	5
ceh-37	3	5	3	3	3	3	3	3	3	3	5	3	3	3	3	2	3	5	1	3	3	3	3	3	3	5	3	3	5	3	3	3	5	3	3	3	3	5	2	3	3	3	3	3	5	3	3	3	5	5	3	3	3	3	3	3	5	5	5	3	5	3	3	3	4	5	5	3	3	5	4	5	3	5	3	3	3	3	3	3	3	3	5	5	3	3	3	3	2	3	3	3	3	3	3	5	5	3	3	5	3	3	5	5	5	5	3	3	3	3	5	3	5	3	3	3	3	5	5	5	3	5	3	3	3	5	3	3	5	5	5	3	3	3	5	3	3	5	5	3	3	2	5	3	3	3	3	5	3	3	3	3	3	5	3	5	3	3	3	3	3	3	3	4	4	5	4	5	5	4	4	2	3	3	3	3	5	2	2	3	2	3	2	3	3	5	3	3	5	3	5
ceh-38	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
ceh-39	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
ceh-40	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	5	2	1	2	1	1	2	5	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	5	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	5	1	2	1	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	5	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
ceh-41	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	5	1	2	2	2	1	1	2	5	1	2	2	2	1	2	1	2	2	1	2	2	5	1	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	5	2	5	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	5	5	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	5	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
ceh-43	3	5	3	3	3	3	3	3	3	3	5	3	3	3	3	2	2	2	2	3	3	3	3	1	3	5	3	3	5	3	3	3	5	3	3	3	3	5	2	3	3	3	3	3	5	3	3	3	2	5	5	5	3	3	5	5	5	5	5	3	5	3	3	3	4	3	5	5	3	5	5	5	3	5	3	3	3	3	3	3	3	3	5	5	3	3	3	3	2	3	3	3	3	3	3	5	5	3	3	5	3	3	5	5	5	5	3	3	3	3	5	3	5	3	3	3	3	5	5	5	3	5	3	3	3	5	3	3	5	2	5	3	3	3	5	3	3	5	5	3	5	2	5	3	3	3	5	5	3	3	3	3	3	5	3	5	5	3	3	3	3	3	3	4	4	5	4	5	5	5	5	5	5	3	3	3	5	2	2	3	2	3	2	3	3	5	3	3	5	3	5
ceh-44	2	2	2	3	3	5	3	5	3	3	2	5	2	2	3	2	2	2	2	3	3	1	3	2	1	5	3	3	2	3	3	2	2	2	3	1	3	2	2	3	2	2	1	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	3	5	3	2	2	2	2	3	2	2	2	5	2	3	3	2	5	5	3	3	2	2	2	3	3	3	5	2	3	2	5	3	3	2	2	2	3	2	2	3	3	5	2	5	2	3	5	3	3	2	3	5	2	3	3	5	2	2	2	1	2	1	2	3	2	2	2	5	2	2	3	2	2	2	5	3	5	5	3	2	2	5	3	3	2	2	2	2	2	2	3	1	2	5	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	3	3	2	2	2	3	2	2	2	2	2	2	2	3	2	5	2
ceh-49	5	5	5	3	3	5	3	5	3	3	5	5	5	5	3	5	5	5	5	3	3	3	3	5	5	1	3	3	2	3	3	5	5	5	3	5	3	5	4	3	5	5	3	3	2	3	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	3	5	3	2	5	5	5	3	2	2	2	5	5	3	3	5	5	3	3	3	5	5	5	3	3	3	3	5	3	5	5	3	3	5	5	5	3	5	5	3	3	2	2	3	5	3	5	3	3	5	3	5	5	3	3	5	5	5	5	3	5	3	5	3	5	5	5	5	4	5	3	5	5	5	5	3	3	5	3	5	5	5	3	3	5	5	5	5	5	5	3	3	5	5	5	5	5	3	3	3	3	5	2	2	2	2	2	2	2	2	5	5	3	3	3	5	5	2	3	5	5	5	5	5	5	5	3	4	5	5
cep-1	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
cey-1	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
cey-2	5	5	5	3	3	3	3	3	3	3	5	5	5	5	3	5	5	5	5	3	3	3	3	5	3	3	3	3	1	3	3	5	5	5	3	5	3	5	4	3	5	3	3	3	2	3	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	3	5	3	2	5	5	5	3	2	2	2	3	5	3	3	5	3	3	3	3	5	5	5	3	3	3	3	5	3	5	5	3	3	3	5	5	3	3	5	3	3	3	2	3	5	3	3	3	3	5	3	5	5	3	3	3	5	5	5	3	5	3	5	3	5	5	5	5	4	5	3	5	5	5	3	3	3	3	3	5	5	3	3	3	5	5	5	5	5	5	3	3	5	3	5	5	5	3	3	3	3	5	2	2	5	2	2	5	2	2	4	5	3	3	3	5	5	2	3	4	5	4	3	3	5	5	3	5	5	5
cey-3	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	5	5	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	5	1	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	1	1	1	1	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	5	2	5	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	5	5	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	5	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
cey-4	2	2	2	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	1	2	2	2	1	1	2	1	1	2	2	2	1	2	1	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2
chd-3	5	2	2	3	3	5	3	5	3	3	2	5	2	2	3	2	2	2	2	3	3	3	3	2	3	5	3	3	5	3	3	1	2	2	3	3	3	2	2	3	5	5	3	3	2	3	5	2	2	2	5	2	2	5	2	2	5	5	2	2	5	3	5	3	2	2	2	2	3	2	2	2	3	2	3	3	2	3	5	3	3	2	2	2	3	3	3	5	2	3	2	5	3	3	5	2	5	3	5	5	3	3	5	5	5	2	3	5	3	3	2	3	5	2	3	3	3	2	2	5	3	5	3	5	3	2	5	2	5	2	2	3	5	2	2	3	3	5	5	3	2	2	5	3	3	2	5	2	3	5	2	3	3	2	3	2	2	2	3	3	3	3	2	2	2	5	5	2	2	2	2	2	2	3	3	3	2	2	2	3	2	2	2	5	5	2	5	3	2	5	2
cnd-1	3	5	5	3	3	3	3	5	3	3	5	5	5	5	3	2	5	5	5	3	3	3	3	5	3	5	3	3	5	3	3	3	1	5	3	3	3	5	2	3	3	3	3	3	5	3	3	5	5	5	5	5	5	3	5	5	5	5	5	5	3	3	3	3	2	5	5	5	3	2	2	2	3	5	3	3	5	3	5	3	3	5	2	5	3	3	3	3	2	3	5	3	3	3	3	5	5	3	3	5	3	3	5	5	5	5	3	3	3	3	5	3	5	3	3	3	3	5	5	5	3	3	3	3	3	5	3	5	5	5	5	3	3	3	5	3	3	5	5	3	5	5	5	3	3	5	5	5	3	5	5	3	3	5	3	2	3	5	3	3	3	3	5	2	2	5	5	5	5	2	2	2	5	3	3	3	5	2	5	3	2	5	2	3	3	5	3	3	5	5	5
